ID,ipm,base ipm,band,lemma,base lemma,POS,MWE,lexical item,sense indication,"MicroSort",notMWE,isLEMMA,hasGLOSS
7029,27608.2,27608.2,A1,w,w,prep,,w,,1,,,
6544,20772.2,20772.2,A1,ten,ten,pron,,ten,,1,,,
1628,20475.8,20475.8,A1,i,i,conj,,i,,1,,,
5723,16048.7,16048.7,A1,się,się,pron,,się,siebie samego,1,,,
7737,14726.4,14726.4,A1,z,z,prep,,z,,1,,,
480,12758.7,12758.7,A1,być,być,v,,być,,1,,,
2900,11944.0,11944.0,A1,na,na,prep,,na,,1,,,
6596,10963.2,10963.2,A1,to,to,pron,,to,,1,,,
837,9609.8,9609.8,A1,do,do,prep,,do,,1,,,
3086,8825.4,8825.4,A1,nie,nie,part,,nie,przeczenie,1,,,
8420,7153.6,7153.6,A1,że,że,conj,,że,,1,,,
3284,5713.2,5713.2,A1,o,o,prep,,o,,1,,,
2325,5662.4,5662.4,A1,który,który,pron,,który,,1,,,
3635,5360.7,5360.7,A1,on,on,pron,,on,,1,,,
1,5172.2,5172.2,A1,a,a,conj,,a,,1,TRUE,TRUE,TRUE
3636,4240.0,4240.0,A1,ona,ona,pron,,ona,,1,,,
1754,4195.2,4195.2,A1,jak,jak,pron,,jak,"w pytaniach, zdaniach zależnych",1,,,
647,3868.1,3868.1,A1,co,co,pron,,co,w pytaniach,1,,,
1746,3098.6,3098.6,A1,ja,ja,pron,,ja,,1,,,
2715,2989.6,2989.6,A1,mieć,mieć,v,,mieć,,1,,,
4107,2901.0,2901.0,A1,po,po,prep,,po,,1,,,
71,2747.6,2747.6,A1,ale,ale,conj,,ale,,1,,,
3405,2566.3,2566.3,A1,od,od,prep,,od,,1,,,
6488,2488.1,2488.1,A1,taki,taki,pron,,taki,,1,,,
7739,2332.0,2332.0,A1,za,za,prep,,za,z tyłu,1,,,
5007,2264.6,2264.6,A1,przez,przez,prep,,przez,,1,,,
7738,2209.6,2209.6,A1,za,za,adv,,za,zbyt,1,,,
2863,2202.5,2202.5,A1,móc,móc,v,,móc,możliwość,1,,,
822,2178.5,2178.5,A1,dla,dla,prep,,dla,,1,,,
6486,2150.9,2150.9,A1,tak,tak,interj,,tak,,1,,,
3827,2080.8,2080.8,A1,pan,pan,n,,pan,mężczyzna,1,,,
